Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional,season
2,Si Won Byeon,30,0,0,,42.43,4,0,0,0,0,0,2.1,6,11,11,1,4,0,2,2,0,0,19,4.286,23.1,3.9,15.4,7.7,0.5,player.fcgi?id=byeon-000jin,2023
3,Young Gun Cho,24,0,0,,0,6,0,0,0,0,0,7.2,5,0,0,0,2,0,7,0,0,0,27,0.913,5.9,0,2.3,8.2,3.5,player.fcgi?id=jo----000you,2023
5,Yeong Min Ha,28,3,1,0.75,4.64,57,0,7,0,0,0,52.1,67,36,27,4,25,3,51,1,0,6,247,1.758,11.5,0.7,4.3,8.8,2.04,player.fcgi?id=ha----000yeo,2023
6,Sung Min Hong,33,0,0,,9,2,0,2,0,0,0,2,5,2,2,1,1,0,1,0,0,1,12,3,22.5,4.5,4.5,4.5,1,player.fcgi?id=hong--003sun,2023
7,Jae Young Jang,21,1,5,0.1666666666666666,5.53,23,17,0,0,0,0,71.2,63,46,44,4,66,0,67,8,2,8,339,1.8,7.9,0.5,8.3,8.4,1.02,player.fcgi?id=jang--004jae,2023
8,Chan Heon Jeong,33,2,8,0.2,4.75,14,14,1,1,0,0,72,71,40,38,4,13,1,35,2,0,0,295,1.167,8.9,0.5,1.6,4.4,2.69,player.fcgi?id=jeong-000cha,2023
9,Eric Jokisch,33,5,3,0.625,4.39,12,12,0,0,0,0,65.2,82,37,32,3,14,1,51,3,0,1,286,1.462,11.2,0.4,1.9,7,3.64,player.fcgi?id=jokisc001eri,2023
10,Seung Woo Ju,23,0,1,0,9.56,11,2,1,0,0,0,16,20,18,17,1,21,0,8,2,0,3,90,2.563,11.3,0.6,11.8,4.5,0.38,player.fcgi?id=ju----000seu,2023
11,Ariel Jurado,27,11,8,0.5789473684210527,2.65,30,30,0,0,0,0,183.2,164,64,54,7,41,0,147,9,0,5,763,1.116,8,0.3,2,7.2,3.59,player.fcgi?id=jurado000ari,2023
12,Dong Hyeok Kim,21,1,7,0.125,7.32,35,2,11,0,0,0,39.1,51,34,32,1,18,0,24,6,2,0,192,1.754,11.7,0.2,4.1,5.5,1.33,player.fcgi?id=kim---022don,2023
14,Gun Hee Kim,18,0,0,,22.5,3,0,2,0,0,0,2,6,5,5,2,2,0,0,0,0,0,14,4,27,9,9,0,0,player.fcgi?id=kim---000gun,2023
15,Jae Woong Kim,24,2,3,0.4,4.22,67,0,11,0,0,6,59.2,56,29,28,2,24,1,46,0,0,0,250,1.341,8.4,0.3,3.6,6.9,1.92,player.fcgi?id=kim---029jae,2023
16,Joon Hyoung Kim,20,0,0,,7.04,8,0,3,0,0,0,7.2,4,6,6,0,6,0,5,3,0,0,36,1.304,4.7,0,7,5.9,0.83,player.fcgi?id=kim---007joo,2023
17,Seon Gi Kim,31,1,3,0.25,5.98,17,7,6,0,0,1,43.2,56,37,29,2,15,0,29,1,1,0,200,1.626,11.5,0.4,3.1,6,1.93,player.fcgi?id=kim---001seo,2023
18,Seong Jin Kim,25,3,3,0.5,3.64,55,0,16,0,0,0,47,44,19,19,5,25,2,38,1,0,0,208,1.468,8.4,1,4.8,7.3,1.52,player.fcgi?id=kim---048seo,2023
20,Jong Min Lee,22,0,1,0,7.24,11,2,4,0,0,0,13.2,22,13,11,0,6,0,10,1,0,0,72,2.049,14.5,0,4,6.6,1.67,player.fcgi?id=lee---017jon,2023
21,Myeong Jong Lee,20,5,5,0.5,5.21,45,2,7,0,0,0,57,66,34,33,5,24,0,26,6,0,0,260,1.579,10.4,0.8,3.8,4.1,1.08,player.fcgi?id=lee---005mye,2023
22,Seung Ho Lee,24,0,0,,5.4,4,1,0,0,0,0,5,5,3,3,1,4,0,1,0,0,0,24,1.8,9,1.8,7.2,1.8,0.25,player.fcgi?id=lee---015seu,2023
23,Young Jun Lee,31,0,1,0,21.6,2,0,0,0,0,0,1.2,4,4,4,0,1,0,0,0,0,1,10,3,21.6,0,5.4,0,0,player.fcgi?id=lee---001you,2023
24,Chang Min Lim,37,2,2,0.5,2.51,51,0,33,0,0,26,46.2,51,16,13,3,17,3,40,2,0,0,209,1.457,9.8,0.6,3.3,7.7,2.35,player.fcgi?id=lim---003cha,2023
25,Ian McKinney,28,1,9,0.1,6.52,12,12,0,0,0,0,59.1,61,46,43,10,36,0,39,1,1,3,268,1.635,9.3,1.5,5.5,5.9,1.08,player.fcgi?id=mckinn000ian,2023
26,Sung Hyun Moon,31,2,2,0.5,4.45,32,0,7,0,0,0,28.1,26,16,14,2,20,2,21,2,0,2,134,1.624,8.3,0.6,6.4,6.7,1.05,player.fcgi?id=moon--001sun,2023
27,Sang Won Oh,18,0,0,,6.6,11,1,7,0,0,0,15,18,11,11,0,9,0,7,3,0,0,74,1.8,10.8,0,5.4,4.2,0.78,player.fcgi?id=oh----002san,2023
28,Seung Joo Park,29,0,3,0,3.5,18,0,6,0,0,0,18,19,11,7,2,13,0,15,2,0,5,91,1.778,9.5,1,6.5,7.5,1.15,player.fcgi?id=park--001seu,2023
29,Jong-hyeon Won,35,1,1,0.5,5.79,20,0,1,0,0,0,18.2,24,16,12,3,5,1,17,1,0,2,87,1.554,11.6,1.4,2.4,8.2,3.4,player.fcgi?id=won---000jon,2023
30,Gi-hyun Yang,24,0,0,,13.5,1,0,0,0,0,0,0.2,1,1,1,0,3,0,2,0,0,0,6,6,13.5,0,40.5,27,0.67,player.fcgi?id=yang--000gi-,2023
31,Hyun Yang,30,0,5,0,5.05,54,0,12,0,0,0,57,83,38,32,5,21,1,16,0,1,0,262,1.825,13.1,0.8,3.3,2.5,0.76,player.fcgi?id=yang--000hyu,2023
32,Jeong-Hyeon Yoon,30,0,0,,1.5,5,0,2,0,0,0,6,5,2,1,0,6,0,2,0,0,1,26,1.833,7.5,0,9,3,0.33,player.fcgi?id=yoon--001jeo,2023
33,Seok Won Yun,19,2,0,1,4.5,21,0,3,0,0,0,24,29,17,12,2,8,1,8,0,0,1,110,1.542,10.9,0.8,3,3,1,player.fcgi?id=yun---006seo,2023
1,Sang Woo Cho,29,0,1,0,3.18,44,0,7,0,0,6,39.2,40,17,14,2,20,1,36,0,0,1,171,1.513,9.1,0.5,4.5,8.2,1.8,player.fcgi?id=cho---002san,2024
